tt,BrandLocale,CL-FI
1,spec_gupc,1
1,spec_nupc,1
1,spec_rupc,1
1,spec_cartpc,1
1,spec_accpc,1
1,spec_gumob,1
1,spec_numob,1
1,spec_rumob,1
1,spec_cartmob,1
1,spec_accmob,1
1,spec_signupgnavnupc,1
1,spec_signupgnavnumob,1
1,MOBILEEMULATEDEVICE,iPhone 11
1,TITLE,
1,ACCTITLE,
1,FIRSTNAME,DONOT
1,LASTNAME,SHIP
1,ADDRESS1,Kauhajärventie 8
1,ADDRESS2,Kauhava
1,PHONE,3.58123E+11
1,ZIPCODE,62200
1,STATE,
1,CITY,Kauhava
1,ADDRESS3,
1,ADDRESS4,
1,SELECTCOUNTRYID,
1,TAB,
1,PAYMENTMETHOD,
1,CREDITCARDNUMBER,4111 1111 1111 1111
1,CREDITCARDFIRSTEIGHTNUMBERS,4111 1111
1,CREDITCARDLASTEIGHTNUMBERS,11111111
1,CVV,123
1,CARDHOLDERNAME,testName
1,CCMONTH,12
1,RID1,emeataiko01@test.com
1,RID2,emeataiko02@test.com
1,RID3,emeataiko03@test.com
1,RID4,emeataiko04@test.com
1,RID5,emeataiko05@test.com
1,RID6,emeataiko06@test.com
1,RID7,emeataiko07@test.com
1,RID8,emeataiko08@test.com
1,RID9,emeataiko09@test.com
1,RID10,emeataiko10@test.com
1,RID11,emeataiko11@test.com
1,RID12,emeataiko12@test.com
1,RID13,emeataiko13@test.com
1,RID14,emeataiko14@test.com
1,RID15,emeataiko15@test.com
1,RPWD,Test@123
1,NID,
1,NPWD,Test@123
1,YEAR,30
1,RFIRSTNAME,
1,CARDTYPE,
1,MONTHYEAR,1230
1,SelectQTY,3
1,VALIDOFFERCODE,test_global_percent_discount
1,INVALIDOFFERCODE,test_global_percent_discountt
1,VALIDOFFERMSG,The discount has been applied.
1,INVALIDOFFERMSG,test_global_percent_discountt
1,REMOVEPRODUCT,
1,SIGNOUTASSERT,Sinut on kirjattu ulos.
1,CHECKOUTCONFIRMURL,/checkout/confirm.tmpl
1,CHECKOUTCONFIRMURL1,
1,CHECKOUTCONFIRMURL2,
1,ACCOUNTCONFIRMURL,/account/index.tmpl
1,MOBACCOUNTCONFIRMURL,/account/index.tmpl
1,CITYDROPDOWN,
1,REGIONDROPDOWN,
1,CARTEMPTYMSG,Tilaa tuote lisäämällä se ostoskoriin.
1,CARTEMPTYMSGMOB,Tilaa tuote lisäämällä se ostoskoriin.
1,MOBAddress1DDValue,
1,MOBAddress2DDValue,
1,MOBCCMONTH,
1,MOBCCYEAR,
1,PCMONTHYEAR,
1,skuId1,SKU121515
1,skuId2,SKU150243
1,skuId3,SKU61414
1,skuId4,SKU66400
1,skuId5,SKU130763
1,skuId6,SKU157319
1,skuId7,SKU133406
1,skuId8,SKU130487
1,skuId9,SKU50165
1,skuId10,SKU128590
1,BPACEMAIL,
1,BPACPWD,
1,BAFIRSTNAME,
1,BALASTNAME,
1,BADDRESS1,
1,BADDRESS2,
1,BAZIPCODE,
1,BAPHONE,
1,BACITY,
1,CLICKINGTABTOGETBUTTONACTIVE,
1,CCIDNUMBER,
1,WAITFORELEMENTS,
1,QTYLIMIT,9
1,FEDERALMOBILEDEVICE,
1,alertMessageInPopup,
1,ACRID1,emeataiko+01@test.com
1,ACRID2,emeataiko+02@test.com
1,ACRID3,emeataiko+03@test.com
1,ACRID4,emeataiko+04@test.com
1,ACRID5,emeataiko+05@test.com
1,ACRID6,emeataiko+06@test.com
1,ACRID7,emeataiko+07@test.com
1,ACRID8,emeataiko+08@test.com
1,ACRID9,emeataiko+09@test.com
1,ACRID10,emeataiko+10@test.com
1,default_Shipping,0
1,shipType,1
1,address5,
1,colony,
1,countryID,27
1,municipality,
1,phone1Type,2
1,defaultShipping,FALSE
1,alphaPhone,
1,exceedingZipcode,5656565656
