tt,BrandLocale,JM-AU,CL-JP,AV-JP,BB-JP,LS-JP,LM-JP,EL-AU,EL-JP,EL-KR,MC-AU,CL-AU,CL-KR,JM-KR,MC-JP
1,accSignupName,DO NOT SHIP,,,,,,Test,,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,,,
1,accSignupPassword,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test123!,Test@123,Test123!,Test@123,Test@123,,,Test@123
1,accSignupMobile,480009028,,,,,,401841001,,,480009028,,,,
1,returnUserId1,test10@10test.com,,,,,,,,,test10@10test.com,,,,test10@10test.com
1,returnUserId2,test10@11test.com,,,,,,,,,test10@11test.com,,,,test10@11test.com
1,returnUserId3,test10@12test.com,,,,,,,,,test10@12test.com,,,,test10@12test.com
1,returnUserId4,test10@13test.com,,,,,,,,,test10@13test.com,,,,test10@13test.com
1,returnUserId5,test10@14test.com,,,,,,,,,test10@14test.com,,,,test10@14test.com
1,returnUserId6,test10@15test.com,,,,,,,,,test10@15test.com,,,,test10@15test.com
1,accUsername,test10@10test.com,donotship@elcautomation.com,cryzhang@cn.estee.com,cryzhang@cn.estee.com,cryzhang@cn.estee.com,cryzhang@cn.estee.com,giyoxe7589@tanlanav.com,cryzhang@cn.estee.com,fgu@cn.estee.com,test10@10test.com,test10@10test.com,ykji0406@gmail.com,ykji0406@naver.com,test10@10test.com
1,accPassword,Test@123,Test@123,Japan123!,Japan123!,Japan123!,Japan123!,Test123!,Japan123!,Welcome12@,Test@123,Test@123,P0o9i8u7!,P0o9i8u7!,Test@123
1,accLineUsername,xiaoqli@cn.estee.com,,kuku_131@hotmail.com,kuku_131@hotmail.com,kuku_131@hotmail.com,kuku_131@hotmail.com,xiaoqli@cn.estee.com,kuku_131@hotmail.com,,xiaoqli@cn.estee.com,xiaoqli@cn.estee.com,,,kuku_131@hotmail.com
1,accLinePassword,Welcome12,,1qaz2wsx3edcA,1qaz2wsx3edcA,1qaz2wsx3edcA,1qaz2wsx3edcA,Welcome12,1qaz2wsx3edcA,,Welcome12,Welcome12,,,1qaz2wsx3edcA
