tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA
1,skuARId1,SKU110189,SKU102284,SKU106323,SKU106323,SKU104554,SKU111311,SKU111311,SKU11598,SKU70495,SKU150015,SKU150319,SKU150319,SKU107109,SKU21500,SKU49000,SKU49000,SKU2270,SKU96256,SKU82225,SKU127703,SKU66912,SKU136053,SKU136716,SKU159448,SKU131830,SKU141784,SKU140859,SKU11598
1,skuARId2,SKU110189,SKU111801,SKU119881,SKU119881,SKU130276,SKU70377,SKU70377,SKU12504,SKU82047,SKU82047,SKU150322,SKU150322,SKU148416,SKU46465,SKU101933,SKU101933,SKU72638,SKU96298,SKU35627,SKU35627,SKU67211,SKU67211,SKU136718,SKU89801,SKU148587,SKU111997,SKU142106,SKU12504
1,skuARId1,SKU110189,SKU102284,SKU106323,SKU106323,SKU104554,SKU32450,SKU32450,SKU49584,SKU131132,SKU150015,SKU150319,SKU150319,SKU107109,SKU21500,SKU49000,SKU49000,SKU2270,SKU96256,SKU86334,SKU127703,SKU66912,SKU136053,SKU136716,SKU159448,SKU131830,SKU141784,SKU140859,SKU49584
1,skuARId2,SKU110189,SKU111801,SKU119881,SKU119881,SKU130276,SKU32450,SKU32450,SKU121556,SKU131132,SKU8502,SKU123619,SKU123619,SKU148416,SKU46465,SKU101933,SKU101933,SKU57995,SKU96298,SKU127703,SKU127703,SKU67211,SKU67211,SKU136718,SKU89801,SKU148587,SKU111997,SKU142106,SKU121556
1,skuARId3,SKU102284,SKU33293,SKU119880,SKU119880,SKU130278,SKU58520,SKU58520,SKU126683,SKU131134,SKU131134,SKU150319,SKU150319,SKU148417,SKU93212,SKU53858,SKU53858,SKU132078,SKU27403,SKU82225,SKU82225,SKU22388,SKU22388,SKU136714,SKU94763,SKU89554,SKU130229,SKU135387,SKU126683
1,skuARId4,SKU117278,SKU102284,SKU114492,SKU114492,SKU130277,SKU79307,SKU79307,SKU74910,SKU119176,SKU119176,SKU123619,SKU123619,SKU148414,SKU86122,SKU147755,SKU147755,SKU3829,SKU4951,SKU52686,SKU52686,SKU66925,SKU66925,SKU136712,SKU131723,SKU78996,SKU130228,SKU126945,SKU74910
1,skuARId5,SKU112797,SKU133118,SKU114489,SKU114489,SKU130279,SKU79307,SKU79307,SKU13165,SKU70495,SKU70495,SKU150322,SKU150322,SKU148415,SKU107109,SKU119968,SKU119968,SKU3829,SKU96294,SKU52686,SKU52686,SKU73518,SKU73518,SKU131679,SKU82541,SKU116824,SKU112369,SKU126946,SKU13165
1,scrolltime,,,,,,,,,,,,,,,100,100,,,100,500,,,,,,,,
1,scrolltime1,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,600,600,500,500,500,500,500,500,500,500
1,Frequency,,Deliver every 45 days,Every 45 days,Deliver every 45 days,Deliver every 45 days,45,45,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days,Deliver every 45 days
1,ARCREDITCARD,2222 4000 3000 0004,2222 4000 1000 0008,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,5555 5555 5555 4444,2222 4000 3000 0004,5555 5555 5555 4444,2222 4000 1000 0008,2222 4000 3000 0004,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,55555 55555 55555 7,55555 55555 55555 7,2222 4000 3000 0004,4111 1111 1111 1111,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444
1,ARCVV,737,737,737,737,737,737,737,737,737,737,737,737,737,111,737,737,737,737,111,111,737,737,737,737,737,737,737,737
1,ARCMONTH,,,2,2,,,,3,,,January,January,January,January,3,3,,,2,2,3,3,3,,,3,,3
1,ARYEAR,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2026,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027
1,ARPCCVVMONTH,330,330,330,330,330,330,330,2027,330,330,330,330,,,,,330,330,,,330,330,,330,330,30,330,2027
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,ARCCNAME,VISA,VISA,,,,,,,,,,,,,,,,,,,,,,,,,,
