tt,BrandLocale,EL-AU,MC-AU,CL-AU,LM-AU,JM-AU,BB-AU,AV-AU,EL-NZ,MC-NZ,CL-NZ,EL-MY,MC-MY,CL-MY,JM-MY,EL-JP,MC-JP,CL-JP,LM-JP,JM-JP,BB-JP,AV-JP,LS-JP,EL-HK,MC-HK,CL-HK,LM-HK,JM-HK,BB-HK,OR-HK,EL-TH,MC-TH,CL-TH,LM-TH,JM-TH,BB-TH,OR-TH,EL-TW,MC-TW,CL-TW,LM-TW,BB-TW,OR-TW,JM-TW,EL-KR,MC-KR,CL-KR,JM-KR,BB-KR,AV-KR,LS-KR,LM-KR,DJ-KR,EL-CN,MC-CN,LM-CN,CL-CN,BB-CN,JM-CN,LS-CN,OR-CN,JM-SG,EL-SG,JM-PH
1,skuId1,SKU114415,SKU57995,SKU49584,SKU102386,SKU21500,SKU165356,SKU93828,SKU62514,SKU4920,SKU49584,SKU110461,SKU61959,SKU92881,SKU21491,SKU44632,SKU118959,SKU156864,SKU93850,SKU44995,SKU121572,SKU110550,SKU136933,SKU62951,SKU63658,SKU46492,SKU77343,SKU114309,SKU167843,SKU129742,SKU51083,SKU4930,SKU111541,SKU26728,SKU58015,SKU133809,SKU54556,SKU152498,SKU71236,SKU12628,SKU26766,SKU161981,SKU129742,SKU164585,SKU150367,SKU81821,SKU73525,SKU162692,SKU155990,SKU35860,SKU133359,SKU101933,SKU154744,,SKU144615,,SKU73525,,SKU121498,SKU136934,SKU70413,SKU135265,SKU40252,SKU21485
1,skuId2,SKU114415,SKU1890,SKU13287,SKU105541,SKU77991,SKU161977,SKU133298,SKU152987,SKU125871,SKU49589,SKU121706,SKU74729,SKU49584,SKU124801,SKU114795,SKU118971,SKU13165,SKU101643,SKU21689,SKU169726,SKU110551,SKU136934,SKU116290,SKU74105,SKU46492,SKU101643,SKU145467,SKU167610,SKU67197,SKU20602,SKU167483,SKU160845,SKU101643,SKU21483,SKU135919,SKU24079,SKU119953,SKU61961,SKU11443,SKU68372,SKU156509,SKU22426,SKU164584,SKU68791,SKU107787,SKU58487,SKU162693,SKU155988,SKU83658,SKU136959,SKU26728,SKU154067,,SKU1661,,SKU75864,,SKU99252,SKU136933,SKU98640,SKU145467,SKU118869,SKU64592
1,skuId3,SKU58998,SKU116602,SKU128576,SKU43151,SKU114309,SKU156660,SKU141886,SKU114407,SKU118956,SKU13489,SKU151873,SKU129815,SKU19483,SKU144697,SKU9578,SKU118969,SKU15272,SKU101933,SKU21689,SKU156663,SKU110557,SKU136713,SKU9588,SKU71236,SKU101141,SKU102386,SKU141171,SKU169696,SKU68136,SKU155139,SKU167475,SKU153553,SKU101933,SKU77990,SKU140174,SKU131296,SKU119953,SKU47612,SKU69992,SKU48997,SKU156506,SKU66922,SKU139035,SKU150365,SKU160231,SKU73486,SKU158634,SKU155989,SKU33908,SKU32830,SKU49000,SKU139927,,SKU147998,,SKU75865,,SKU43629,SKU136935,SKU98642,SKU21484,SKU66144,SKU58015
1,skuId4,SKU149174,SKU127969,SKU13037,SKU25071,SKU21754,SKU161978,SKU59419,SKU77483,SKU5469,SKU31799,SKU150322,SKU55615,SKU13869,SKU121499,SKU9577,SKU118970,SKU53697,SKU26728,SKU98531,SKU156664,SKU110549,SKU136718,SKU6899,SKU3948,SKU118422,SKU101933,SKU37584,SKU156642,SKU68133,SKU9578,SKU167476,SKU150243,SKU93850,SKU21484,SKU140105,SKU84868,SKU127883,SKU49819,SKU13287,SKU48995,SKU156504,SKU22924,SKU148419,SKU150364,SKU16564,SKU73486,SKU162694,SKU152178,SKU62968,SKU133265,SKU48995,SKU163640,,SKU140846,,SKU61709,,SKU90669,SKU136957,SKU65738,SKU106998,SKU121706,SKU107058
1,skuId5,SKU149096,SKU72636,SKU101199,SKU48995,SKU90669,SKU161988,SKU59408,SKU144352,SKU118968,SKU14132,SKU150321,SKU81231,SKU13289,SKU121496,SKU122744,SKU118944,SKU13868,SKU70584,SKU21754,SKU156669,SKU33067,SKU133351,SKU123098,SKU3984,SKU66634,SKU26728,SKU121496,SKU165355,SKU25954,SKU94533,SKU167477,SKU160783,SKU26744,SKU73641,SKU140099,SKU130454,SKU137198,SKU61962,SKU56826,SKU48996,SKU156503,SKU62185,SKU135418,SKU96762,SKU76727,SKU73488,SKU162692,SKU152697,SKU34068,SKU133265,SKU70584,SKU154743,,SKU144615,,SKU15272,,SKU25354,SKU136930,SKU80016,SKU50351,SKU48595,SKU63569
1,skuId6,SKU43935,SKU94589,SKU128590,SKU86583,SKU21804,SKU53933,SKU34415,SKU46002,SKU133466,SKU101200,SKU39205,SKU81231,SKU126683,SKU58014,SKU31325,SKU118942,SKU13789,SKU48997,SKU99398,SKU156657,SKU62968,SKU136720,SKU116289,SKU3961,SKU13489,SKU86580,SKU124802,SKU169550,SKU96908,SKU45795,SKU108907,SKU56006,SKU77343,SKU21500,SKU112095,SKU56193,SKU9585,SKU21990,SKU19483,SKU26766,SKU156115,SKU86703,SKU106995,SKU150364,SKU3830,SKU133381,SKU162691,SKU140120,SKU34071,SKU152154,SKU26767,SKU154744,,SKU116582,,SKU95832,,SKU121496,SKU136713,SKU96906,SKU50352,SKU91078,SKU63569
1,skuId7,SKU43936,SKU155101,SKU128566,SKU93850,SKU160206,SKU127626,SKU104746,SKU9589,SKU133465,SKU13922,SKU45842,SKU61971,SKU75865,SKU77990,SKU45796,SKU118951,SKU54211,SKU48995,SKU84102,SKU156668,SKU42246,SKU136932,SKU122788,SKU61964,SKU13289,SKU48995,SKU121499,SKU156506,SKU91993,SKU44632,SKU3953,SKU49584,SKU48995,SKU32461,SKU112102,SKU84854,SKU44503,SKU21989,SKU15479,SKU63882,SKU156114,SKU66924,SKU106997,SKU96765,SKU124142,SKU133379,SKU152237,SKU140118,SKU34192,SKU136713,SKU26767,SKU154067,,SKU133454,,SKU13287,,SKU58014,SKU133265,SKU96908,SKU107120,SKU139185,SKU81210
1,skuId8,SKU95588,SKU118972,SKU12763,SKU42960,SKU162692,SKU127627,SKU33067,SKU83498,SKU133462,SKU71734,SKU9578,SKU10651,SKU111541,SKU106998,SKU44503,SKU4556,SKU56826,SKU48996,SKU21483,SKU152178,SKU42636,SKU136959,SKU92923,SKU21990,SKU97190,SKU48996,SKU135223,SKU156119,SKU97708,SKU45796,SKU3478,SKU13869,SKU48996,SKU44995,SKU148990,SKU23837,SKU56829,SKU61960,SKU69992,SKU58585,SKU156120,SKU24583,SKU110780,SKU129700,SKU95929,SKU13840,SKU129404,SKU17524,SKU148887,SKU72988,SKU48996,SKU139927,,SKU124138,,SKU111732,,SKU21688,SKU136718,SKU95503,SKU84105,SKU151867,SKU21491
1,skuId9,SKU9426,SKU118971,SKU126687,SKU153765,SKU162693,SKU121567,SKU156421,SKU45797,SKU133459,SKU12573,SKU39205,SKU65037,SKU73479,SKU106995,SKU9591,SKU151504,SKU13289,SKU48998,SKU21804,SKU156115,SKU33213,SKU136707,SKU91168,SKU45332,SKU75865,SKU50364,SKU106996,SKU124322,SKU98644,SKU8035,SKU45332,SKU15483,SKU48998,SKU158612,SKU138942,SKU24079,SKU118340,SKU63659,SKU15518,SKU26728,SKU156117,SKU45594,SKU21607,SKU25594,SKU16564,SKU52246,SKU102317,SKU121563,SKU34192,SKU136718,SKU50364,SKU163640,,SKU95928,,SKU74597,,SKU21485,SKU136931,SKU79704,SKU121496,SKU118860,SKU106997
1,skuId10,SKU9590,SKU118972,SKU11627,SKU93850,SKU162691,SKU121575,SKU152044,SKU69818,SKU133468,SKU75865,SKU39208,SKU90317,SKU130194,SKU21491,SKU85265,SKU103799,SKU53697,SKU49000,SKU21484,SKU156120,SKU33135,SKU141473,SKU91169,SKU53960,SKU119068,SKU48998,SKU90669,SKU96858,SKU22713,SKU7771,SKU92174,SKU13829,SKU49000,SKU43629,SKU140134,SKU54556,SKU31325,SKU42127,SKU15486,SKU73000,SKU133189,SKU67197,SKU111327,SKU48288,SKU129811,SKU13840,SKU145467,SKU155989,SKU148968,SKU106222,SKU48998,SKU154743,,SKU124139,,SKU54125,,SKU160164,SKU151885,SKU70413,SKU135418,SKU15145,SKU44994
