tt,BrandLocale,AV-DE,AV-EU,AV-FR,AV-IT,AV-TR,BB-AT,BB-CH,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-IN,BB-IT,BB-NL,BB-RU,BB-TR,BB-ZA,BK-FR,BK-RU,EB-CZ,CL-AT,CL-BE,CL-CH,CL-CZ,CL-DE,CL-DK,CL-ES,CL-FI,CL-FR,CL-GR,CL-HU,CL-IL,CL-IN,CL-IT,CL-NL,CL-NO,CL-PL,CL-RO,CL-RU,CL-SE,CL-TR,CL-ZA,DA-BE,DA-DE,DA-FR,DA-IT,DA-NL,EL-AT,EL-BE,EL-CH,EL-CZ,EL-DE,EL-DK,EL-ES,EL-FR,EL-GR,EL-HU,EL-IL,EL-IN,EL-IT,EL-NL,EL-NO,EL-PL,EL-RO,EL-RU,EL-SE,EL-TR,EL-ZA,FM-EU,JM-EU,JM-FR,JM-ME,JM-RU,LM-AT,LM-BE,LM-CH,LM-DE,LM-ES,LM-EU,LM-FR,LM-IT,LM-PL,LM-PT,LM-RU,MC-AT,MC-BE,MC-CH,MC-CZ,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-IT,MC-KSA,MC-NL,MC-NO,MC-PL,MC-RO,MC-RU,MC-TR,MC-UAE,MC-ZA,OR-DE,OR-DK,OR-EU,OR-RU,OR-TR,SB-EU,SB-GR,SB-RU,SB-TR,SB-ZA,TF-DE,TF-FR,DA-ES,AV-GR
1,MOBILEEMULATEDEVICE,iPhone 11,iPhone 11,iPhone 11,,,,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,,,,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,,iPhone 11,,,iPhone 11,,iPhone 11,,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,Galaxy Note 3,,,Galaxy Note 3,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,,iPhone 11,iPhone 11,,,,iPhone 11,iPhone 11,iPhone 11,
1,TITLE,Mrs.,Mrs.,Mrs.,,,,,,,,,,,,,,,,,,Mr.,,,,,,,,,,,,,,,,,,,,,,Miss,,,,Mr.,,,Dhr.,,,,,,,Dhr.,,,,Mr.,,,,,,,,Miss,,,,,,,,,,,dhr.,,,,,,,Dhr.,,,,,,,Asszony,,,,,Dhr.,,,,,,,Miss,Herr,,Sig.,,,Mr.,,,,,Mr.,,,
1,ACCTITLE,Mme,Mme,Mme,,,,,,,,,,,,,,,,,,Mr.,,,,,,,,,,,,,,,,,,,,,,Miss,,,,Mr.,,,Dhr.,,,,,,,Dhr.,,,,,,,,,,,,Miss,,,,,,,,,,,dhr.,,,,,,,Dhr.,,,,,,,Asszony,,,,,Dhr.,,,,,,,Miss,Herr,,Sig.,,,Frau,,,,,Herr,,,
1,FIRSTNAME,DONOT,DO NOT,DO NOT,,,,,DO NOT,DONOT,DO NOT,DONOT,DO NOT,,,,DO NOT,DONOT,DO NOT,DO NOT,,DO NOT,DO NOT,,,,DO NOT,,DONOT,DONOT,DO NOT,DONOT,,DO NOT,,DONOT,DO NOT,DONOT,,,DONOT,DONOT,DONOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,,DO NOT,,,DO NOT,DO NOT,DONOT,DO NOT,DONOT,,DO NOT,,DO NOT,,,DO NOT,,DO NOT,,DO NOT,DO NOT,,DO NOT,DO NOT,DO NOT,,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,,DO NOT,DO NOT,,,DO NOT,DO NOT,DO NOT,DO NOT,DONOT,DO NOT,DO NOT,,DO NOT,DO NOT,DONOT,DO NOT,DONOT,DO NOT,DO NOT,,DO NOT,DO NOT,,DONOT,DONOT,,DONOT,DO NOT,,,,DO NOT,DO NOT,DO NOT,DONOT
1,LASTNAME,SHIP,SHIP,SHIP,,,,,SHIP,SHIP,SHIP,SHIP,SHIP,,,,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,,,,SHIP,,SHIP,SHIP,SHIP,SHIP,,SHIP,,SHIP,SHIP,SHIP,,,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,,,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,,SHIP,,,SHIP,,SHIP,,SHIP,SHIP,,SHIP,SHIP,SHIP,,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,,,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,,SHIP,SHIP,,SHIP,SHIP,,,,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,Kirchgasse,Rue des Tanneurs,123,,,,,Kirchgasse 42-44,DONTSHIP,2 rue de l,Agiou Athanasiou 60,Ben Yehuda Street,,,,Москва,DONOT,1641  Old Cres,2 rue de l,,Bedřicha Smetany,Hausergasse 140,,,,Kirchgasse 42-44,,DONTSHIP,Kauhajärventie 8,2 rue de l,Agiou Athanasiou 60,,Ben Yehuda Street,,DONTSHIP,Marikenstraat 24,E.H. gate 218 22,,,330,Simpnäs 30,DONOT,1641  Old Cres,VIALE SABATINI CAMILLO 130,Kirchgasse 42-44,2 rue de l,VIALE SABATINI CAMILLO 130,Kirchgasse 42-44,,Machelsesteenweg 78,,,Kirchgasse 42-44,Tarupvej 123,Kievskaya,2 rue de l,Vassilissis,,Ben Yehuda Street,,VIALE SABATINI CAMILLO 130,,,ul.Krasińskiego Zygmunta 22,,Kievskaya,,,1641  Old Cres,,Rua Leite Vasconcelos,2 rue de l,,,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Kirchgasse 42-44,Machelsesteenweg 78,Torenstraat,2,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,,TEST,Machelsesteenweg 78,,,Kirchgasse 42-44,Cruce Casa de Postas,2 rue de l,OMONIA SQUARE 4,Machelsesteenweg,Ben Yehuda Street,Teek Street,,TEST,Marikenstraat 24,E.H. gate 218 22,Kirchgasse 42-44,Villanueva Street,Kievskaya,,,1641  Old Cres,Hausergasse 140,,Test,ul.Kozlova,20,,Kirchgasse,OMONIA SQUARE 4,,,Kirchgasse 42-44,Hausergasse 140,22,Agiou Athanasiou 60
1,ADDRESS2,33,92,71  avenue du Marechal Juin,,,,,42-44,Ourense 22,la Marne- Level 0,25,22,,,,121059,22,123,la Marne- Level 0,,8113,22,,,,42-44,,Ourense 22,Kauhava,la Marne- Level 0,25,,22,,Ourense 22,22,22,,,"330, кв-л",22,22,123,22,22,la Marne- Level 0,22,22,,22,,,22,22,Test,la Marne- Level 0,23,,22,,22,,,22,,121059,,,123,,77,la Marne- Level 0,22,,78,78,78,22,78,184,Test,78,78,78,,TEST,22,,,22,55,la Marne- Level 0,22,23,22,22,,22,22,22,5,23,121059,ADANA,,123,22,,Test,33,,33,22,,,,22,Hausergasse 140,22,25
1,PHONE,4961130372,0490 39 52799,3619404956,,,,,49611303721,6985471230,3322808292,6998989898,771234567,,,,89100094952,5432112345,8457125985,228082923,,773925855,65058349203,,,,4961130372,,617435393,501122334,3322808292,6998989898,,771234567,,617435393,624673899,91459981,,,89100094952,0176-6951587,5432112345,4558965231,3456789876,9876543456,567890912,3105367900,624673899,,4941608013,,,4961130372,41-60-89101,6598743215,3322808292,6598743215,,771234567,,3105367900,,,72 378 1091,,89100094952,,5432112345,4558965231,,3322808292,3322808292,9876543210,,6789098761,678909876,678909876,4961130372,678909876,06-90130404,3322808292,6789098761,987654345,678909876,,9988776655,4941608013,,,4.96E+11,711905367,3322808292,6971 214604,3618895501,771234567,9878987676,,502345678,06-24673899,91459981,4961130372,3024434244,89100094952,5432112345,,4558965231,6505834921,,89786849846,4956496282,,4961130372,6971214604,,,,6505834921,650583492,517 726 775,6998989898
1,ZIPCODE,65623,6692,68300,,,,,65623,28003,44000,84400,94101,,,,101000,20010,5435,75003,,28504,3233,,,,65623,,11160,62200,44000,84400,,94101,,11160,6536 CB,1610,,,101000,761 52,20010,9301,2819,65623,44000,22012,1082 MD,,6032,,,65623,4060,28014,44000,11528,,94101,,22012,,,50-401,,101000,,,9301,,8700,44000,,,5241,5241,5241,65623,52413,5241 VG,75008,52413,52412,3030-222,,2700,6032,,,65623,18311,44000,10431,1111,94101,400012,,,6536 CB,1610,31-985,613311,101000,20010,,9301,32333,,20019,101000,,65623,10431,,,,32333,32333,65623,84400
1,STATE,,,,,,,,,Albacete,,,,,,,,CEYHAN,Limpopo,France,,,,,,,,,Albacete,,,,,,,,,,,,,,CEYHAN,Limpopo,,,,Milan,,,,,,,,Albacete,,,,,,Milan,,,,,,,,Limpopo,,,,Abu Dhabi,,,,,,,,,,,,,,,,,,Albacete,,,,,,,Abha,,,,Bucuresti,,,,Eastern Cape,,,Milan,,,,,,,,,,Palencia,
