tt,BrandLocale,EL-CE,MC-CE,CL-CE,EL-MX,MC-MX,CL-MX,OR-MX,BB-MX,LM-MX,MC-BR,CL-BR,LM-BR,JM-BR,AV-MX,TF-BR,EL-BR,JM-MX
1,ID,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@test.com,test12349@qatest.com,test12349@qatest.com,test12349@qatest.com,test12349@qatest.com,test12349@test.com,test12349@qatest.com,test12349@qatest.com,test12349@test.com
1,FIRSTNAME,DONOT,DONOT,DONOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT SHIP,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,555570055,555570055,555570055,125,125,555570055,125,125,555570055,555570055,555570055,555570055,555570055,125,555570055,555570055,555570055
1,ADDRESS2,56994365171,56994365171,56994365171,4000,4000,4000,4000,4000,4000,6580,6580,6580,6580,4000,6580,6580,4000
1,RUT,76.086.428-5,76086428-5,76086428-5,,,,,,,,,,,,,,
1,RUT2,20.976.253-6,76.086.428-5,76086428-5,,,,,,,,,,,,,,
1,ZIPCODE,,,,22056,22056,22056,22056,22056,22056,71219-900,71219-900,71219-900,71219-900,33333,71219-900,71219-900,22056
1,PHONE,998112212,966233212,966112212,9726816910,9726816910,9726816910,9726816910,9726816910,9726816910,5555700556,5555700556,5555700556,5555700556,9726816910,5555700556,5555700556,9726816910
1,CARDHOLDERNAME,TESTER,TESTER,TESTER,APPROVED,APPROVED,APPROVED,APPROVED,APPROVED,APPROVED,TESTER,TESTER,TESTER,TESTER,APPROVED,TESTER,TESTER,APPROVED
1,CREDITCARD,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5555555555554444,5555555555554444,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366
1,CREDITCARDNUMBER,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5555555555554444,5555555555554444,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366,5474925432670366
1,CVV,123,123,123,123,123,123,123,123,123,737,737,123,123,123,123,123,123
1,Expyear,2025,2025,2025,25,25,25,25,25,25,2025,2025,2025,2025,2025,2025,2025,25
1,MONTHYEAR,325,325,325,325,325,325,325,,325,330,330,330,330,,330,330,
