tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-CA,SB-US,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA,TFB-US
1,CatID,CAT5352,CAT5352,CAT14006,CAT14006,CAT19797,CAT19047,CAT19047,CAT1593,CAT8431,CAT8467,CAT536,CAT631,CAT25978,CAT25978,CAT5834,CAT5834,CAT28373,CAT28373,CAT6025,CAT6025,CAT15332,CAT15332,CAT1530,CAT19566,CAT15132,CAT22006,CAT29723,CAT1592,
1,skuId1,SKU110189,SKU102284,SKU175588,SKU17621,SKU104554,SKU111311,SKU66176,SKU11598,SKU70495,SKU70495,SKU153498,SKU43921,SKU107109,SKU21500,SKU93850,SKU105541,SKU173650,SKU96256,SKU93444,SKU178398,SKU78167,SKU96676,SKU136716,SKU82570,SKU131830,SKU94150,SKU140859,SKU11598,
1,skuId2,SKU110189,SKU111801,SKU175587,SKU119241,SKU130276,SKU70377,SKU51875,SKU12504,SKU131132,SKU82047,SKU48603,SKU25734,SKU148416,SKU46465,SKU102386,SKU133946,SKU170321,SKU96298,SKU37073,SKU178399,SKU116797,SKU116800,SKU136718,SKU89801,SKU148587,SKU112693,SKU142106,SKU12504,
1,skuId3,SKU102284,SKU33293,SKU175596,SKU140110,SKU130278,SKU56305,SKU44578,SKU74855,SKU131134,SKU59030,SKU48595,SKU25735,SKU148417,SKU93212,SKU93850,SKU133945,SKU153452,SKU27403,SKU139221,SKU178395,SKU116794,SKU116794,SKU136714,SKU94763,SKU89554,SKU130229,SKU135387,SKU13457,
1,skuId4,SKU117278,SKU102284,SKU175522,SKU140108,SKU130277,SKU51461,SKU73653,SKU74910,SKU119176,SKU72613,SKU48598,SKU25733,SKU148414,SKU86122,SKU141353,SKU133945,SKU2950,SKU4951,SKU127693,SKU178401,SKU116801,SKU116797,SKU136712,SKU131723,SKU78996,SKU94240,SKU126945,SKU11827,
1,skuId5,SKU112797,SKU133118,SKU175595,SKU140109,SKU130279,SKU86408,SKU62924,SKU74971,SKU82047,SKU82047,SKU48288,SKU86896,SKU148415,SKU107109,SKU25071,SKU60983,SKU2270,SKU96294,SKU43809,SKU178397,SKU116800,SKU116801,SKU131679,SKU82541,SKU116824,SKU112369,SKU126946,SKU124389,
1,skuId6,SKU110189,SKU102284,SKU175588,SKU17621,SKU104554,SKU111311,SKU66176,SKU11598,SKU70495,SKU70495,SKU8027,SKU43921,SKU107109,SKU21500,SKU93850,SKU105541,SKU173650,SKU96256,SKU93444,SKU178398,SKU78167,SKU96676,SKU136716,SKU82570,SKU131830,SKU94150,SKU140859,SKU11598,
1,skuId7,SKU110189,SKU111801,SKU175587,SKU119241,SKU130276,SKU70377,SKU51875,SKU12504,SKU131132,SKU82047,SKU48603,SKU25734,SKU148416,SKU46465,SKU102386,SKU133946,SKU170321,SKU96298,SKU37073,SKU178399,SKU116797,SKU116800,SKU136718,SKU89801,SKU148587,SKU112693,SKU142106,SKU12504,
1,skuId8,SKU102284,SKU33293,SKU175596,SKU140110,SKU130278,SKU56305,SKU44578,SKU74855,SKU131134,SKU59030,SKU48595,SKU25735,SKU148417,SKU93212,SKU93850,SKU133945,SKU153452,SKU27403,SKU139221,SKU178395,SKU116794,SKU116794,SKU136714,SKU94763,SKU89554,SKU130229,SKU135387,SKU13457,
1,skuId9,SKU117278,SKU102284,SKU175522,SKU140108,SKU130277,SKU51461,SKU73653,SKU74910,SKU119176,SKU72613,SKU48598,SKU25733,SKU148414,SKU86122,SKU141353,SKU133945,SKU2950,SKU4951,SKU127693,SKU178401,SKU116801,SKU116797,SKU136712,SKU131723,SKU78996,SKU94240,SKU126945,SKU75865,
1,skuId10,SKU112797,SKU133118,SKU175595,SKU140109,SKU130279,SKU86408,SKU62924,SKU74971,SKU82047,SKU82047,SKU48288,SKU86896,SKU148415,SKU107109,SKU25071,SKU60983,SKU2270,SKU96294,SKU43809,SKU178397,SKU116800,SKU116801,SKU131679,SKU82541,SKU116824,SKU112369,SKU126946,SKU95229,
1,RID1,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,elcqana+01@test.com,
1,RID2,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,elcqana+02@test.com,
1,RID3,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,elcqana+03@test.com,
1,RID4,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,elcqana+04@test.com,
1,RID5,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,elcqana+05@test.com,
1,RID6,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,elcqana+06@test.com,
