tt,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,ID,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com
1,FIRSTNAME,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA,UKDTXAutomationQA
1,LASTNAME,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip,DoNotShip
1,ADDRESS1,"Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3","Estee Lauder, Unit 3"
1,ADDRESS2,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park,Kites Croft Business Park
1,PHONE,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960,7448778960
1,ZIPCODE,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL,PO14 4FL
1,STATE,,,,,,,,,,,,,,,
1,CITY,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM,FAREHAM
1,ADDRESS3,,,,,,,,,,,,,,,
1,ADDRESS4,Hampshire,Hampshire,,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire,Hampshire
1,CREDITCARDNUMBER,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111,4444 3333 2222 1111
1,CREDITCARDLASTEIGHTNUMBERS,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111,22221111
1,CVV,737,737,737,737,7373,737,737,737,737,737,737,737,737,737,737
1,CCMONTH,12,12,12,12,12,12,12,12,12,,12,12,,12,12
1,ACRID,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com,test@123asdf.com
