tt,BrandLocale,AV-DE,AV-EU,AV-FR,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-TR,BK-FR,CL-DE,CL-ES,CL-FI,CL-FR,CL-GR,CL-IL,CL-TR,CL-IT,DA-IT,EL-BE,EL-DE,EL-ES,EL-FR,EL-GR,EL-IL,EL-TR,JM-EU,JM-FR,JM-ME,LM-DE,LM-EU,MC-AT,MC-BE,MC-DE,MC-ES,MC-FR,MC-GR,MC-HU,MC-IL,MC-IN,MC-KSA,MC-PL,MC-RO,MC-TR,OR-EU,SB-EU,TF-DE
1,RUPWDREG,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,TITLEREG,Mr.,M.,M.,Herr,Sra.,M.,,,,M,Herr,Señor,,M.,,man,,Sig.a,Mr.,Dr.,,,,,,,Sr.,,,,dhr.,Herr,Mevr.,,Señor,Mme,,,גבר,Mr,,,,,Sig.,Mr.,Mr
1,ACProfileFIRSTNAMEREG,DO NOT,HELLO,HELLO,DO NOT,HELLO,HELLO,HELLO,DONOT,HELLO,HELLO,DO NOT,DO NOT,HELLO,DO NOT,HELLO,DONOT,HELLO,DO NOT,DO NOT,HELLO,DO NOT,Donot,Ronald,HELLO,HELLO,HELLO,HELLO,DO NOT,DONOT,DO NOT,DONOT,Smith,Tina,DO NOT,DO NOT,Hello,DO NOT,HELLO,Emma,HELLO,HELLO,HELLO,Tom,HELLO,DONOT,DO NOT,HELLO
1,ACProfileLASTNAMEREG,TEST,TEST,TEST,TEST,TEST,TEST,TEST,SHIP,TEST,TEST,SHIP,SHIP,TEST,SHIP,TEST,SHIP,TEST,SHIP,SHIP,TEST,TEST,Ship,Treas,TEST,TEST,TEST,TEST,BILL,SHIP,BILL,SHIP,sandy,jim,BILL,BILL,Moto,BILL,JOHN,Julie,JONNEY,TEST,JOHN,jenner,TEST,SHIP,BILL,TEST
1,PWDHintREG,,,,,,,,,,,,,,,,,,,,,,,,,,,,Test,Test,,,,,,,,,,,,,,,,,,
1,ACProfileUpdateASSERTREG,,,,,,,,,,,,,,,,,,,,,Ihr Profil wurde aktualisiert.,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PaymentTypeREG,VISA,VISA,VISA,VISA,VISA,VISA,VISA,,CreditCard,VISA,VISA,VISA,VISA,VISA,COD,,VISA,,VISA,VISA,VISA,VISA,VISA,VISA,,CreditCard,VISA,VISA,CASH ON DELIVERY,VISA,VISA,VISA,VISA,VISA,VISA,VISA,PAY ON DELIVERY,PAY ON DELIVERY,,PAY ON DELIVERY,,VISA,COD,VISA,VISA,VISA,MASTER CARD
1,OutputFileNameREG,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,,OutputData.csv,,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,,OutputData.csv,,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv,OutputData.csv
1,FileSystemREG,,,require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),,,require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),,require('fs'),,require('fs'),require('fs'),require('fs'),,require('fs'),require('fs'),,,,require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),require('fs'),,,,require('fs'),,,require('fs'),require('fs'),require('fs'),require('fs'),require('fs')
1,PaymentTitleREG,Zahlungsart,Mode de paiement,Mode de paiement,Zahlungsart,PAGO,PAIEMENT,PAIEMENT,,Ödeme,PAIEMENT,Zahlungsart,Medio de pago,Maksutapa,Mode de paiement,Τρόπος Πληρωμής,,What is ,,PAGAMENT,Betaling,PAIEMENT METHODE,ENVÍO,PAIEMENT,Betaling,, Ödeme,Método de pagamento,Méthode de paiement,Payment Method,Zahlungsmethode,,Bezahlung,BETAALWIJZE,Zahlungsart,PAGO,PAIEMENT,ΠΛΗΡΩΜΗ,Fizetési mód,,Payment Method,,Płatność,Metodă de Plată,Ödeme Yap,Pagamento,Zahlungsmethode,Zahlungsart
1,ShippingTitleREG,Versandart wahlen,Mode de livraison,Mode de livraison,VERSANDART,MÃ‰TODO DE ENVÃO,MODE DE LIVRAISON,Mode de Livraison,,Teslimat,Mode de Livraison,VERSANDART,,,Mode de livraison,,,Shipping Method ,,METODO DI SPEDIZIONE,Verzenden,Livraison,Pago,Livraison estimée,Verzenden,,Teslimat,Método de entrega,Mode de Livraison,Delivery Method,Versandart wählen,Verzending,Versand,BEZORGINGSMETHODE,Versandart wählen,MÃ‰TODO DE ENVÃO,Mode De Livraison,ΑΠΟΣΤΟΛΗ,Szállítás,,Delivery Method,,SPOSÓB WYSYŁKI,Livrare,Gönderim Süresi,Metodo di spedizione,Versand,VERSANDART
