tt,BrandLocale,EL-AU,EL-JP,MC-JP,LM-JP,EL-HK,MC-HK,LM-HK,BB-HK
1,skuId1,SKU114415,SKU44632,SKU68635,SKU119968,SKU105432,SKU1994,SKU85321,SKU130400
1,skuId2,SKU149174,SKU122744,SKU118971,SKU115246,SKU44503,SKU5841,SKU101643,SKU140143
1,skuId3,SKU149096,SKU88852,SKU118969,SKU26149,SKU9585,SKU21981,SKU105541,SKU144098
1,skuId4,SKU43935,SKU41261,SKU118970,SKU141353,SKU9578,SKU32073,SKU101933,SKU117217
1,skuId5,SKU58998,SKU167494,SKU118944,SKU70584,SKU53808,SKU32074,SKU26744,SKU89421
1,REGNAME,,DO NOT SHIP,DO NOT SHIP,テスト名,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP,DO NOT SHIP
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,FIRSTNAMEKAT,,テスト,テスト,テスト,,,,
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,LASTNAMEKAT,,テスト,テスト,テスト,,,,
1,ADDRESS,BRADLEY STREET,清川,清川,清川,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F,25 Canton Road 33/F
1,ADDRESS2,1 BRADLEY ST,,,,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City,The Gateway Tower 2 Harbour City
1,PHONE,480009028,81353540111,81353540111,81353540111,91552110,91552110,91552110,91552110
1,Mobile1,,3123412340,,,,,,
1,Mobile2,,,,,,,,
1,ZIPCODE,2835,1110022,1110022,1110022,,,,
1,STATE,,,東京都,東京都,九龍,九龍,九龍,九龍
1,STATEAC,,,,,九龍,九龍,九龍,九龍
1,CITY,COBAR,台東区,台東区,台東区,尖沙咀,尖沙咀,尖沙咀,尖沙咀
1,CITYAC,,,,,尖沙咀,尖沙咀,尖沙咀,尖沙咀
1,SUBDISTRICT,,,,,,,,
1,STREET,,,,,,,,
1,ADDRESS4,,,,,,,,
1,CCHOLDERNAME,Testing card,Testing card,testing card,Test Test,testing card,testing card,testing card,testing card
1,CREDITCARD,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4111 1111 1111 1111,4335 9000 0014 0040,4335 9000 0014 0040,4335 9000 0014 0040,4335 9000 0014 0040
1,CVV,737,737,737,737,123,123,123,123
