tt,BrandLocale,AV-US,BB-US,BU-US,CL-US,EL-US,EL-CA,LM-US,MC-US,MC-CA,SB-US,OR-US,CL-CA,AV-CA
1,ID,test12@test.com,test12@test.com,test122@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com,test12@test.com
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.
1,ADDRESS2,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street
1,PHONEFIRSTFIVENUMBERS,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477,3477
1,PHONELASTFIVENUMBERS,703960,703960,703960,703960,703960,703960,703960,703960,703960,703960,703960,703960,703960
1,ZIPCODE,80202,80202,80202,80202,80202,M5S 1N5,80202,80202,M5S 1N5,80202,80202,M5S 1N5,M5S 1N5
1,STATE,,,,,,Ontario,,,Ontario,,,Ontario,Ontario
1,CITY,,,,,,Toronto,,,Toronto,,,Toronto,Toronto
1,MSTATE,,,,,,Ontario,,,Ontario,,,Ontario,Ontario
1,CREDITCARD,2222 4000 3000 0004,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,5555 5555 5555 4444,4151 5000 0000 0008,5555 5555 5555 4444,2222 4000 3000 0004
1,CVV,737,737,737,737,737,737,737,737,737,111,737,737,737
1,CCMONTH,,2,,,January,January,3,,,2,3,2,
1,NID,,,,,,,,,,,,,
1,NPWD,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123,Test@123
1,YEAR,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027,2027
1,PCCVVMONTH,330,330,330,330,330,330,330,330,330,330,330,330,330
1,NEWZIPCODE,,,,,,,,10010,M5S 1N5,,,,
1,DAY,,,,,,,,,,3,,,
1,MONTH,,,,,,,,,,January,,,
1,INVALIDOFFERMSG,"Invalid offer code, please try again.",test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,Oops! This offer code is either expired or invalid.,Oops! This offer code is either expired or invalid.,test_global_percent_discountt,test_global_percent_discountt,test_global_percent_discountt,"Invalid offer code, please try again."
1,ORDERMESSAGE,Order Number,Your confirmation number,Your confirmation number,Your confirmation number,Your order number,Your confirmation number,Your confirmation number,,,,,Your confirmation number,Order Number
1,CCNAME,,,Visa,Visa,Visa,Visa,Visa,Visa,Visa,,Visa,,
1,MSTATE1,,NY,NY,NY,NY,ON,NY,NY,,NY,NY,,
1,PHONE,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960
1,curSymbol,$,$,$,$,$,$,$,$,$,$,$,$,$
1,CARDTYPE,,MasterCard,,,,,,,,,,,
1,REWARDSUCCMSG,,,,,,,,,,,REWARDS HAS BEEN ADDED TO YOUR CART,,
1,VALIDOFFERMSG,,,,,,,The Waves de La Mer Welcome Offer has been applied to your order.,,,OFFER CODE WELCOME15 HAS BEEN SUCCESSFULLY APPLIED.,,,
1,WELCOMEOFFER1,,,,first,elist15,elist15,waveswelcome,,,lyl_15_off,,,
1,BIRTHDAYOFFER1,,,,lyl_birthday_offer,,,,,,,,,
1,REWARDOFFER,,,,,,,,,,,150pts_loyalty_2,,
1,CatID,CAT5352,CAT14006,CAT19047,CAT1592,CAT536,CAT631,CAT5834,CAT28373,CAT28373,CAT6025,CAT15332,CAT1592,CAT5352
