tt,BrandLocale,AV-US,AV-CA,BB-US,BB-CA,BK-US,BU-CA,BU-US,CL-US,DA-CA,DA-US,EL-US,EL-CA,JM-US,JM-CA,LM-US,LM-CA,MC-US,MC-CA,SB-US,SB-CA,OR-US,OR-CA,LS-US,FM-US,GG-US,TF-US,DJ-US,CL-CA
1,NPWD,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234,Test@1234
1,EnterEmail,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,lm1080686@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com,gopitesting02@gmail.com
1,PPEmail,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com,csspavi3@hotmail.com
1,PPPassword,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123,tester123
1,EXPEmail,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com,test.buyer.1@elcompanies.com
1,EXPPassword,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!,sbx4BUY1!
1,expressPayPalEmail,test.buyer.8@elcompanies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,expressPaypalPassword,sbx4BUY8!,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,payPalEmail,test.buyer.8@elcompanies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,payPalPassword,sbx4BUY8!,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,toPlaceOrder,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CHECKOUTCONFIRMURL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
