tt,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK
1,expressPayPalEmail,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk,afuller@aveda.co.uk
1,expressPaypalPassword,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1,Elconline1
1,checkoutConfUrl2,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl,/checkout/index.tmpl
1,checkoutConfUrl1,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl,/checkout/confirm.tmpl
1,giftCardNo,7.78E+15,"7777085424568162	",,7.78E+15,"7777085424662588	",,,7.78E+15,,"7777080810723862	",7.78E+15,7.78E+15,7.78E+15,7.78E+15,
1,pinNo,56518651,26057416,,97423683,97374827,,,26269723,,26066987,93764666,6905723,54340411,63696235,
1,clearpayEmail,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc3@gmail.com,csstesterelc2@gmail.com
1,clearpayPassword,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021,July20202021
1,engravingProductSkuId,,SKU94793,,,,,,SKU114795,,SKU107120,SKU101933,,,SKU95503,SKU94151
1,productSkuId,,,SKU125687,,SKU107379,,,,,SKU139035,,,,SKU95503,SKU94152
