tt,BrandLocale,BB-TR,BK-FR,CL-FI,CL-TR,DA-BE,DA-DE,DA-FR,DA-NL,EL-TR,EL-ZA,LM-AT,LM-BE,LM-CH,LM-ES,LM-IT,LM-PL,LM-PT,MC-DE,MC-TR,TF-FR
1,RCOVALIDOFFERCODE,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount,test_global_percent_discount
1,RCOVALIDOFFERCODEMSG,The discount has been applied.,The discount has been applied.,applied,The discount has been applied.,discount,discount,discount,discount,The discount has been applied.,The discount has been applied.,applied,applied,applied,applied,applied,applied,applied,The discount has been applied.,The discount has been applied.,The discount has been applied.
1,RCOVALIDADDRESS,,2 rue de l,Kauhava,,VIALE SABATINI CAMILLO 130,Kirchgasse 42-44,2 rue de l,VIALE SABATINI CAMILLO 130,,1641  Old Cres,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Kirchgasse 42-44,,2 rue de l
1,RCOEDITADDVALIDATEMSG,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON
1,RCOEDITFIRSTNAME,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON
1,RCOBILLINGENTERFIRSTNAME,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON,ASTON
1,RCOBILLINGENTERLASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,RCOBILLINGADDRESS1,,2 rue de l,Kauhajärventie 8,,VIALE SABATINI CAMILLO 130,Kirchgasse 42-44,2 rue de l,VIALE SABATINI CAMILLO 130,,1641  Old Cres,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Machelsesteenweg 78,Kirchgasse 42-44,,2 rue de l
1,RCOBILLINGADDRESS2,,992 Memorial Dr,Kauhava,,22,22,992 Memorial Dr,22,,123,78,78,78,78,78,78,78,22,,992 Memorial Dr
1,RCOBILLINGPHONE,5477703960,3477703960,567876567,5477703960,3456789876,9876543213,567890912,624673899,5477703960,4558965231,6789098761,6789098761,678909876,678909876,6789098761,98765434,678909876,98765432134,5477703960,650583492
