tt,BrandLocale,BK-US,BU-CA,BU-US,MC-CA,CL-US,DJ-US,MC-US,OR-US,CL-CA,EL-US,EL-CA,AV-US,AV-CA,BB-US,BB-CA,LM-US,LM-CA,JM-US,JM-CA,TF-US
1,FIRSTNAME,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT,DO NOT
1,LASTNAME,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP,SHIP
1,ADDRESS1,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.,Estee Lauder Online Canada,Estee Lauder Co.
1,ADDRESS2,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,130 Bloor Street West,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street,40 w 23rd Street
1,PHONE,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960,3477703960
1,ZIPCODE,80202,M5S 1N5,80202,M5S 1N5,80202,80202,80202,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202,M5S 1N5,80202
1,STATE,,Ontario,,Ontario,,,,,Ontario,,Ontario,,Ontario,,Ontario,,Ontario,,Ontario,
1,CITY,,Toronto,,Toronto,,,,,Toronto,,Toronto,,Toronto,,Toronto,,Toronto,,Toronto,
1,CCNAME,JOHN BUSH,JOHN BUSH,JOHN BUSH,,,,,,,,,,,,,,,,,
1,CVV,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737,737
1,RID1,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com,rcotestprod14@yopmail.com
1,RID2,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com,rcotestprod15@yopmail.com
1,RID3,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com,rcotestprod16@yopmail.com
1,RID4,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com,rcotestprod17@yopmail.com
1,RID5,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com,rcotestprod19@yopmail.com,rcotestprod18@yopmail.com,rcotestprod18@yopmail.com
